Code,Wilaya,NOEST (B),DHD (B),ZR (B),YALIDINE (B),ANDERSON (B),/,NOEST (H),DHD (H),ZR (H),YALIDINE (H),ANDERSON (H)
1,Adrar,1000,600,970,850,700,,1500,1100,1400,1050,1400
2,Chlef,450,400,520,650,450,,700,700,750,900,750
3,Laghouat,600,500,670,750,450,,1000,900,950,950,950
4,Oum El Bouaghi,500,400,520,650,450,,800,800,800,900,800
5,Batna,500,400,520,650,500,,800,800,800,900,800
6,Béjaïa,500,400,520,650,450,,800,700,800,900,800
7,Biskra,600,400,670,750,500,,1000,900,950,950,900
8,Béchar,800,600,720,850,650,,1200,1100,1100,1050,1300
9,Blida,300,250,370,450,300,,500,500,400,590,450
10,Bouira,450,400,520,550,450,,750,650,750,700,750
11,Tamanrasset,1500,800,1120,1400,650,,2000,1300,1600,1600,1600
12,Tébessa,600,500,520,750,450,,900,800,850,950,850
13,Tlemcen,500,400,570,650,450,,800,800,850,900,850
14,Tiaret,600,400,520,650,450,,900,800,800,900,800
15,Tizi Ouzou,450,400,520,650,450,,700,650,750,900,750
16,Alger,400,200,420,450,400,,600,400,500,590,500
17,Djelfa,600,500,670,750,550,,1000,900,950,950,950
18,Jijel,500,400,520,650,450,,800,700,800,900,800
19,Sétif,500,400,520,650,450,,800,700,750,900,750
20,Saïda,600,400,570,650,450,,900,800,800,900,800
21,Skikda,500,400,520,650,450,,800,700,800,900,850
22,Sidi Bel Abbès,500,400,520,650,450,,800,700,800,900,800
23,Annaba,500,400,520,650,450,,800,700,800,900,800
24,Guelma,600,400,520,650,450,,900,800,800,900,800
25,Constantine,500,400,520,650,450,,800,700,800,900,800
26,Médéa,400,400,520,550,450,,600,600,750,700,750
27,Mostaganem,500,400,520,650,450,,800,700,800,900,800
28,M'Sila,500,500,570,650,450,,800,800,850,900,850
29,Mascara,500,400,520,650,450,,800,700,800,900,800
30,Ouargla,700,500,670,750,450,,1100,1000,950,950,950
31,Oran,500,400,520,650,450,,800,700,800,900,800
32,El Bayadh,800,500,670,850,450,,1200,1000,1100,1050,1100
33,Illizi,1500,600,///////,1400,800,,1900,1300,///////,1600,1600
34,Bordj Bou Arreridj,500,400,520,650,450,,800,700,750,900,750
35,Boumerdès,400,350,520,550,450,,600,600,750,700,750
36,El Tarf,600,400,520,650,450,,900,800,800,900,800
37,Tindouf,1000,600,//////,1400,////////,,1700,1300,////////,1600,1650
38,Tissemsilt,500,400,520,650,450,,800,800,800,900,800
39,El Oued,700,500,670,750,650,,1100,900,950,950,950
40,Khenchela,600,500,520,650,450,,900,800,800,900,800
41,Souk Ahras,600,500,520,650,450,,900,800,800,900,800
42,Tipaza,400,350,520,550,450,,600,600,750,700,750
43,Mila,500,400,520,650,450,,800,700,800,900,800
44,Aïn Defla,500,400,520,550,450,,800,600,750,700,750
45,Naâma,800,500,670,850,600,,1200,1000,1100,1050,1100
46,Aïn Témouchent,500,400,520,650,450,,800,700,800,900,800
47,Ghardaïa,700,500,670,750,600,,1100,1000,950,950,950
48,Relizane,500,400,520,650,450,,800,700,800,900,800
49,Timimoun,1000,600,1000,850,////////,,1500,1300,1400,1050,1400
50,Bordj Badji Mokhtar,////////,////////,////////,850,////////,,////////,,////////,1050,1500
51,Ouled Djellal,////////,500,670,750,450,,1000,900,950,950,900
52,Béni Abbès,////////,////////,970,850,////////,,1200,1300,1000,1050,1000
53,In Salah,1200,600,////////,1400,800,,1800,1300,1600,1600,1600
54,In Guezzam,///////,////////,////////,1400,////////,,///////,,1600,1600,1600
55,Touggourt,700,500,670,750,650,,1100,900,950,950,950
56,Djanet,///////,////////,////////,1400,850,,2200,,////////,1600,1600
57,El M'Ghair,///////,////////,////////,750,500,,1100,900,950,950,950
58,El Meniaa,700,500,////////,750,////////,,1100,1000,1000,950,1000
